,Application/Use Case,,Statistic,,Application Category,,,,,,,,,,,,,,,,Critical/priority,,"Other Involved User Types, inc detected",,,,,,,,Road Types,,,Environment,,Application Mechanisms,,,KPI,,,,,,,,,,Communication Mode,,,,,,,
Name,Acronym,Article Ref ,Articles,Number of articles,Safety,Efficiency,Parking,Security / Public Safety,Environnement,Entertainment,Comfort,Data Collection,Freight,Energy,Vehicle Maintenance,Economic,Access,Shared Transport,Traveler Information,,Critical,Non-Critical,Passenger,Commercial Vehicle Driver,Cyclist,Motorcyclist,Pedestrian,Public Transit,Driver/Car,Emergency vehicle,Limited Access Highways,Roads with at-grade crossings,Intersections,Urban,Rural,Automated,Connected information,Connected coordination,Max latency (ms),Range,Accuracy,Message Frequency (msg/sec),Data Rate,Message Period (ms),Message size up (bits),Priority,Messaging Type,VANET messages,V2X,V2I,V2V,V2P,V2N,Other names,Comments,Count
Across traffic turn collision risk warning,ATTCRW,17,"17 , 21 , 30 , 31 , 35 , 36 , 38 , 94",8,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,,,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,Yes,Yes,Yes,,,,,1
Automatic access control/parking access,AAC,17,17,1,,,Yes,,,,,,,,,,Yes,,,2,,,,,,,,,Yes,,,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,,,,,,1
Car rental/sharing assignment/reporting,CTR,17,"17 , 26",2,,,Yes,,,,,,Yes,,,Yes,,Yes,,4,,,Yes,,,,,,Yes,,,Yes,,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,,,,,,1
Co-operative adaptative cruise control,CACC,17.94,"17 , 18 , 20 , 38 , 57 , 65 , 94",7,,Yes,,,Yes,,,,,Yes,,,,,,3,,,,,,,,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,100,200,,2,500000,500,,Mid,Unicast broadcast,,Yes,,Yes,,,,,1
Co-operative forward collision warning,CFCW,17,"17 , 18 , 20 , 25 , 26 , 29 , 32 , 34 , 35 , 36, 40 , 42 , 43, 53,61,89,90 , 94",17,Yes,,,,,,,,,,,,,,,1,Yes,,,,,,,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,100,150,< 1 m,10,96000,100,254,High,"Periodic, event-triggered broadcast, unicast",BSM, ,,Yes,,,,,1
Co-operative glare reduction,CGR,17,"17 , 20 ",2,Yes,Yes,,,,,,,,,,,,,,2,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,Yes,100,20,,2,508,500,254,High,,BSM,Yes,,Yes,,,,,1
Co-operative lane change assistance,CLCA,17,"17 , 18 ,21, 25,30, 32, 34 , 35 , 38 , 40 , 94 , 77",11,Yes,,,,,,,,,,,,,,,1,Yes (Blind Spot Warning),Yes,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,Yes,100,300,< 2 m,10,50000,100,254,High,Periodic broadcast,BSM, ,,Yes,,,,,1
Co-operative merging assistance,CMA,17,"17 , 18 , 21 , 30 , 32",5,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,,,,,,Yes,Yes,100,300,,10,2540,100,254,High,,BSM,Yes,Yes,Yes,,,,,1
Co-operative vehicle-highway automation system (Platoon),CVHAS,17,"17 , 20",2,,Yes,,,Yes,,,,,Yes,,,,,,3,,,,,,,,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,100,200,,2,500000,500,,Low,,,Yes,Yes,Yes,,,,,1
Collision risk warning from RSU,CRWRSU,17,"17 , 21",2,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,,Yes,Yes,,,,,1
Control Loss Warning,CLW,32,32,1,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,,,Yes,,,,,1
Ecological/economic data collection from vehicle,EDCV,17,"17 , 18 , 65",3,,,,,Yes,,Yes,,,Yes,,Yes,,,,4,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Mid,"Unicast, broadcast, on-demand",,Yes,Yes,Yes,,,,inclut product life cycle management,1
Electronic toll collect,ETC,17,"17 , 18 , 20",3,,,,,,,,Yes,Yes,,,Yes,Yes,,,4,,,,,,,,,Yes,,Yes,,,,,,Yes,,200,200,,1,0,1000,,Low,"Periodic broadcast, unicast",,,Yes,,,,,,1
Emergency electronic brake lights,EEBL,17,"17 , 18 , 20 , 21 , 22 , 25 , 27 , 30,31, 32  , 36 , 38 , 94",13,Yes,,,,,,,,,,,,,,,1,Yes,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,300,,10,96000,100,254,High,"Event-triggered, time-limited broadcast",BSM, ,,Yes,,,,,1
Emergency vehicle signal preemption,EVSP,30,30.88,2,Yes,Yes,,Yes,,,,,,,,,,,,3,,,,,,,,,,Yes,,,Yes,,,,Yes,,500,200,,1,2000000,100,,Mid,,,,Yes,,,,,,1
Emergency vehicle warning,EVW,17,"17 , 29, 30 , 32 , 84",5,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,Yes,Yes,Yes,,,,,1
Enhanced route guidance and navigation,ERGN,17,17,1,,Yes,,,,,Yes,,,,,,,,Yes,3,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,1,2000000,1000,,Mid,,TIM,,Yes,,,,,,1
Fleet management (inc taxi/ridehailing),FM,17,17,1,,Yes,,,,,,Yes,Yes,,,Yes,,Yes,,5,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,,,,,,1
Global Internet Services,GIS,32,32,1,,,,,,Yes,,,,,,,,,,1,,,Yes,,,,,,Yes,,Yes,Yes,Yes,,,,,,1000,200,,1,15000000,,,Low,,,,Yes,,,,,,1
Hazardous location notification,HLN,17,"17 , 18 , 21",3,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,300,,10,2540,100,254,High,"Event-triggered, time-limited GeoCast",BSM,Yes,Yes,Yes,,,,,1
Head on collision warning,HCW,32,"32 , 34 , 89 , 90 , 94",5,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,,Yes,Yes,,,do not pass warning,,1
In-vehicle signage,IS,17,17,1,Yes,Yes,,,,,,,,,,,,,,2,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,1,2000000,1000,,Mid,,,,Yes,,,,,,1
Instant messaging,IM,17,17,1,,,,,,Yes,Yes,,,,,,,,,2,,,Yes,,,,,,Yes,,Yes,Yes,Yes,,,,,,500,200,,1,15000000,1000,,Low,,,,Yes,Yes,,,,,1
Insurance and financial services,IFS,17,17,1,,,,,,,,,,,Yes,Yes,,,,2,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,,,,,,1
Intersection collision warning,ICW,17,"17 , 18 , 21 , 30 , 32 , 43,44, 74",7,Yes,,,,,,,,,,,,,,,1,,,,,Yes,Yes,Yes,,Yes,,,,Yes,,,,Yes,,100,300,,10,2540,100,254,High,Periodic permanent broadcast,BSM,Yes,Yes,Yes,Yes,,,,1
Intersection management,InM,17,"17 , 18 , 70",3,Yes,Yes,,,Yes,,,,,Yes,,,,,,4,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,Yes,Yes,500,200,5 m,1,2000000,1000,,Mid,"Periodic broadcast, unicast",SPAT,Yes,Yes,Yes,,,,,1
Lane management,LM,62,"62 , 94",2,,Yes,,,Yes,,,,,,,Yes,Yes,,,4,,,,Yes,,,,Yes,Yes,,Yes,Yes,,,,,Yes,,500,200,,1,2000000,100,,Mid,,,,Yes,,,,Eco-Lanes Management,,1
"Limited access warning, detour notification",LAW,17,"17 , 18",2,,Yes,,,,,,,,,,,Yes,,Yes,3,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,10,2000000,100,,Mid/Low,Periodic broadcast,TIM,Yes,Yes,,,,,Combines access control and routing (otherwise included in either),1
Loading zone management,LZM,17,17,1,,,,,,,,,Yes,,,Yes,Yes,,,3,,,,Yes,,,,,Yes,,,Yes,,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,,,,,,1
Local electronic commerce,LEC,17,17,1,, ,,,,Yes,Yes,,,,,Yes,,,Yes,4,,,,,,,,,Yes,,,Yes,Yes,,,,Yes,,500,200,,1,15000000,1000,,Low,,TIM,,Yes,,,,,service reservation or/and some good purchasing,1
Low Emissions Zone Management,LEZM,65,"65 , 94",2,,,,,Yes,,,,,,,,Yes,,,2,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,,,,,,1
Map download and update,MDU,17,"17 , 18 , 41 , 49",4,Yes,Yes,,,,,Yes,,,,Yes,,,,Yes,5,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Low,"Unicast, broadcast, on-demand",TIM,Yes,Yes,Yes,,,,,1
Media downloading,MD,17,"17 , 18 , 27 , 36 , 41 , 76,77",6,,,,,,Yes,Yes,,,,,,,,,2,,,Yes,,,,,,Yes,,Yes,Yes,Yes,,,,,,500,200,,1,15000000,1000,,Low,"Unicast, broadcast, on-demand",,,Yes,,,Yes,,,1
Merging traffic turn collision risk warning ,MTTCRW,17,"17 , 21 , 91",3,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,,,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,Yes,Yes,Yes,,,,,1
Motorcycle warning,MW,17,"17 , 92",2,Yes,,,,,,,,,,,,,,,1,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,50,,2,508,500,254,High,,BSM,Yes,,Yes,,,,,1
Overtaking vehicle warning,OVW,17,"17 , 21 , 32 , 85 , 77",4,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,Yes,,,,,Yes,,100,300,,10,50000,100,254,High,,BSM, ,,Yes,,,,,1
Parking assistance,PA,33,"25 , 33 , 82 , 94",5,,,Yes,,Yes,,,,,,,,Yes,,,3,,,,,,,,,Yes,,,Yes,,,,Yes,Yes,,500,200,,1,16000,1000,,Low,,,,Yes,,,,Fait partie de smart parking systems,(Eco/Automated) Parking assistance,1
Point of interest notification,PIN,17,17,1,,,,,,Yes,Yes,,,,,,,,Yes,3,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,1,3000000,1000,,Low,,TIM,,Yes,,,,,,1
Post-crash warning,PCW,30,30,1,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,1000,,1,254,1000,254,High,,BSM,Yes,Yes,Yes,,,,,1
Pre-crash sensing warning,PCSW,17,"17 , 18 , 32 , 34 , 35 , 36 , 37 , 38 , 58",9,Yes,,,,,,,,,,,,,,,1,Yes,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,50,50,,10,2540,100,254,High,"Periodic broadcast, unicast",BSM,Yes,,Yes,Yes,,,,1
Regulatory/contextual speed limits,CSL,17,"17 , 35 , 36 , 94",4,Yes,Yes,,,Yes,,,,,Yes,,,,,,4,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,200,,10,2000000,100,235,High,,,,Yes,,,,"Inclut Curve Speed
Warnings, School zone speed warning, work zone speed warning",,1
Remote diagnosis and just in time repair notification,RD,17,"17 , 18",2,,,,,,,,Yes,,,Yes,Yes,,,,3,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Low,"Unicast, broadcast, event-triggered",,Yes,Yes,Yes,,,,,1
Roadwork warning,RW,17,"17 , 20 , 94",3,Yes,Yes,,,,,,,,,,,,,,2,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,250,,2,508,500,254,High,,BSM,,Yes,,,,,,1
Safety function out of normal condition warning,SFONCW,17,17,1,Yes,,,,,,,,,,Yes,,,,,2,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,Yes,Yes,,,,,,1
Sensor/data Sharing,DS,17,"17 , 25 , 29 , 41 , 70",5,Yes,Yes,,,Yes,,,Yes,,,,,,,Yes,5,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,1000,300,,1,2000000,1000,254,High,,BSM,Yes,Yes,Yes,,,,inc Traffic condition warning / floating car data (inc ecological),1
Signal violation warning,SiVW,17,"17 , 18 , 30 , 35 , 36 , 94",7,Yes,,,,,,,,,,,,,,,1,,Yes,,,,,,,Yes,,,,Yes,,,,Yes,,100,250,,10,2540,100,254,High,"Event-triggered, time-limited broadcast",BSM, ,Yes,,,,,,1
Slow vehicle warning,SlVW,17,"17 , 18",2,Yes,Yes,,,,,,,,,,,,,,2,,,,Yes,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,50,,2,508,500,254,High,Periodic permanent broadcast,BSM, ,,Yes,,,,,1
SOS service,SOSS,17,"17 , 30",2,Yes,,,Yes,,,,,,,,,,,,2,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,Yes,,,,,1
Speed Management,SM,32,"17,32,79,80,94",5,,Yes,,,Yes,,Yes,,,Yes,,Yes,,,,5,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,2,2000000,500,,Mid,,,,Yes,,,,,inc eco-driving,1
Stationary vehicle warning,StVW,17,"17 , 32",2,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,Yes,,Yes,,,,,1
Stolen vehicle alert,SVA,17,17,1,,,,Yes,,,,,,,,Yes,,,,2,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,Yes,,,,,1
Tele-operated driving,TOD,,42.82,2,Yes,Yes,,,,,,,,,,,,,,2,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,100,200,,1,25000000,1000,,Low,,,,Yes,,,,,,1
Traffic information and recommended itinerary,TIRI,17,"17 , 36, 41, 94",5,,Yes,,,Yes,,Yes,,,,,,,,Yes,4,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,10,2000000,100,340,Mid,,TIM,,Yes,,,Yes,Enhanced route guidance guidance and navigation,,1
Traffic light optimal speed advisory,TLOSP,17,"17,75 , 94",3,,Yes,,,Yes,,Yes,,,Yes,,,,,,4,,,,,,,,,Yes,,,,Yes,,,,Yes,,100,200,,2,2000000,500,,Mid,,SPAT,,Yes,Yes,,,,,1
Transit vehicle signal priority,TVSP,46,"46, 52 , 54 , 56 , 57,88",6,,Yes,,,Yes,,,,,,,,,,,2,,,,,,,,Yes,,,,,Yes,,,,Yes,,500,200,,1,2000000,100,,Mid,,SPAT,,Yes,,,,Eco-Traffic Signal Priority,,1
Vehicle and RSU data calibration,VRSUDC,17,"17 , 25 , 29",3,,,,,,,,Yes,,,Yes,,,,,2,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,,,,,c'est la partie calibration automatisée de capteur RSU et véhicule qui rend cette application distincte,1
Vehicle software/data provisoning and update,VS,17,17,1,,,,Yes (cyber security),,,,Yes,,,Yes,,,,,2,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,500,200,,1,0,1000,,Low,,,,Yes,,,,,,1
Vulnerable road user warning,VRUW,17.28,"17 , 25, 28 ,  29 , 30, 37, 40 , 42, 57  , 94",9,Yes,,,,,,,,,,,,,,,1,,,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,,Yes,,100,50,,10,10000,100,254,High,,BSM,Yes,Yes,,Yes,,,,1
Wrong way driving warning,WWDW,17,"17 , 32 , 57 , 83",4,Yes,,,,,,,,,,,,,,,1,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,,100,300,,10,2540,100,254,High,,BSM,Yes,Yes,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59